feature,importance.05,importance,importance.95,permutation.error,.interaction
bulk_density,1,1,1,0.03361607039505044,0
horiz_orient,1,1,1,0.03361607039505044,0
pred_vp,1.5279555969408523,1.5975934346782126,1.6601370786049754,0.053704813362813214,0
pred_vs,1,1,1,0.03361607039505044,0
shale_group,1,1,1,0.03361607039505044,0
