feature,importance.05,importance,importance.95,permutation.error,.interaction
bulk_density,0.9497164365749431,1.0259390775100365,1.100673094042146,0.03398596129126594,3.3341699291117955e-16
horiz_orient,0.9423203430557974,1.0147117169559152,1.0921765959377816,0.033614036047788974,7.101995966382574e-16
pred_vp,1.2857490554009579,1.4685072927913638,1.8927898321000871,0.04864677942658908,2.249134334733238e-16
shale_group,0.9259536706252129,1.0000640215801733,1.0683676303666254,0.03312880644794332,0
