feature,importance.05,importance,importance.95,permutation.error,.interaction
bulk_density,1,1,1,0.03361724170653835,0
horiz_orient,1,1,1,0.03361724170653835,0
pred_vp,1.506615244873899,1.583470237037653,1.641273567306266,0.05323190169360435,0
shale_group,1,1,1,0.03361724170653835,0
