feature,importance.05,importance,importance.95,permutation.error,.interaction
bulk_density,1.7121795563483087,1.7633806969314292,1.8150985225912146,0.10647048744842377,0.5794654720916323
horiz_orient,1.03751178614641,1.047412643321904,1.0540456422432518,0.06324132666768195,0.07644836025637741
pred_vp,1.9628795957086096,2.0155351751622153,2.069348557088299,0.12169522607477541,0.5315108637976113
pred_vs,1.842130169215506,1.886136649069727,1.9202293729515625,0.11388232204778378,0.5219334140319383
shale_group,1.0351766846185542,1.05470426184338,1.0759770019034436,0.06368158450855571,0.012663719362650643
