feature,importance.05,importance,importance.95,permutation.error,.interaction
bulk_density,1.4475573793012737,1.5663410768772268,1.8019541594168431,3.351665142952654,0.10967001364801697
horiz_orient,1.119395911905948,1.3657299395486606,1.6172993539118752,2.9223963417968077,0.09531912348917045
pred_vp,2.694976153993406,2.9555204699746946,3.737138769102895,6.324238752804972,0.17833613029084985
pred_vs,3.6205623323646785,4.503516568354426,5.897139219866478,9.636649211138835,0.14413524916159587
shale_group,0.9452329975270124,1.0102545821487168,1.084965047745945,2.161748241479245,0.010897788371837813
