feature,importance.05,importance,importance.95,permutation.error,.interaction
bulk_density,1.0046688517945144,1.1048662347443559,1.1986796471502212,4.761026792079151,1.7097960037845214e-16
horiz_orient,1.112569053873386,1.2351438115022724,1.331973383429067,5.32241152250772,4.0351836665005407e-17
pred_vp,1.4830966102667795,1.7009304699481542,2.292852353741921,7.329552921635533,5.824025209058994e-16
pred_vs,1.5357914442079847,1.7403144665446937,2.2172746558618903,7.499264201679008,9.248776781987925e-17
shale_group,0.9456784058223758,1.010125004839071,1.098173798431096,4.35277326806956,2.248133683388017e-16
