feature,importance.05,importance,importance.95,permutation.error,.interaction
bulk_density,1.4792549310100187,1.5325164788517123,1.5891857542964982,0.03572295415889527,0.34475566042655964
horiz_orient,1.115487548908431,1.144765923717718,1.1720800766836819,0.026684489974473175,0.22359626642376076
pred_vp,1.8658003772744958,1.931849153288639,2.021357313725366,0.04503139750675941,0.23123915957155528
shale_group,1.0100976579160321,1.013917396676438,1.0185674316737636,0.02363441123290103,0.04796712791180893
