uwi,facies,mean_elev_masl,rows,thickness,rhob_mean,rhob_sd,dtc_mean,dtc_sd,dts_mean,dts_sd,gr_mean,gr_sd
100010506518W500,dv_carb,-2040.9,147,14.599999999999898,2687.9570857142858,18.143394267037753,192.0725156462585,15.27294923822006,358.529874829932,30.90821286358693,36.115538095238094,9.815519257294524
100010506518W500,dv_shale,-2018.35,304,30.2999999999997,2579.1039289473683,68.15207660727718,243.44262467105264,14.801306941197495,417.4104134868421,45.39646796811307,88.90567401315789,16.308969883555545
100011806117W500,dv_carb,-2124.175,475,11.849999999999898,2716.228163368421,18.57543897516984,187.9364572631579,16.07476195565507,342.7324296842105,22.435698744957705,57.11507010526316,26.988236870247558
100011806117W500,dv_shale,-2103.6625,1166,29.125,2571.782852315609,42.66991213273836,226.59862024013722,10.75349351026917,374.9780289879931,15.397271468442947,154.5585065180103,42.351755515850556
100012806123W500,dv_shale,-2645.5858895705524,489,49.1000000000004,2547.4144603271984,100.64949910030754,266.24047873210634,15.522481246313994,432.3163047034765,22.305060800056555,126.5718572597137,32.445957316502415
100013306521W500,dv_carb,-2242.35,124,12.299999999999702,2690.9871758064514,21.520885004879105,188.10577661290324,9.398628555464619,349.5439758064516,14.493356458688128,35.46062096774194,7.3584699332967025
100013306521W500,dv_shale,-2225.25,218,21.6999999999998,2567.8635701834864,73.86296837662152,246.07993532110092,20.59577541590029,413.8119876146789,29.907767688002448,116.51226100917431,35.16003856705985
100020406519W500,dv_carb,-2108.95,162,16.099999999999902,2716.22127345679,14.595562343928448,187.34395061728395,10.274199276836852,NA,NA,44.196481481481484,10.84147811380909
100020406519W500,dv_shale,-2088.85,240,23.9000000000001,2568.6336520833333,41.97284036952072,240.6122,13.49055836058444,NA,NA,112.685375,23.96887519125794
100020706419W500,dv_carb,-2179.85,110,10.900000000000098,2686.2286354545454,15.209402424517982,182.6583409090909,14.683205433190166,NA,NA,39.78961363636363,14.21526395742162
100020706419W500,dv_shale,-2157.15,344,34.2999999999997,2537.617415934066,34.97580505042171,239.86072238372094,12.136216591415714,NA,NA,110.26364825581395,20.297893140710862
100020906418W500,dv_carb,-2072.1,125,12.400000000000098,2721.1572784,29.53463428631518,177.93024,10.229015219525794,NA,NA,35.37204,10.281833172420367
100020906418W500,dv_shale,-2046.7173684210527,380,39,2595.638568157895,56.059730781801235,229.28536842105262,16.83237346406705,NA,NA,107.0227302631579,28.634124988351818
100021706621W500,dv_carb,-2227.75,140,13.8999999999996,2663.9173405405404,9.782592130368311,195.37833571428573,14.517598206404536,366.47520214285714,38.54671163911749,46.035113571428575,20.421187809371958
100021706621W500,dv_shale,-2213.85,138,13.6999999999998,2526.4767398550725,48.63646176633441,251.24704057971016,10.771248430883075,412.56952173913044,26.580427852300435,159.0868695652174,31.52925877240328
100022206320W502,dv_carb,-2286.35,88,8.700000000000301,2649.3176261363637,64.83392000031675,221.0001443181818,34.000632338172764,389.755525,47.678174008585216,74.04,43.748644814896835
100022206320W502,dv_shale,-2244,759,75.7999999999997,2588.974497364954,81.06233569405713,250.49046561264822,15.447876069863396,427.87140408432145,36.08975373763313,109.16810895915678,28.82451432054772
100030706316W500,dv_carb,-1974.05,84,8.299999999999699,2697.5113333333334,11.613583372601658,180.97642380952382,14.40785658479779,NA,NA,35.53403095238095,12.674263451311372
100030706316W500,dv_shale,-1950.75,382,38.1000000000004,2559.570285340314,42.15271751776184,232.70419842931938,12.297556092256798,NA,NA,133.88732984293193,31.45830102271243
100033206322W500,dv_carb,-2483.85,58,5.699999999999797,2661.839746551724,15.264828661823003,180.63644827586208,19.010832099014674,NA,NA,28.857672413793104,7.662717912274031
100033206322W500,dv_shale,-2464.1,337,33.6000000000004,2499.0435083086054,32.815120164254374,247.81501513353115,16.34180133351176,NA,NA,130.2826112759644,28.301420085183487
100033206415W500,dv_carb,-1801.65,140,13.900000000000102,2671.9330414285714,22.98320780024421,206.178295,10.19835832665002,NA,NA,64.7685,10.253764876214523
100033206415W500,dv_shale,-1785.9,175,17.4000000000001,2524.9246737142857,33.5751714707768,246.15443885714285,11.87518786703318,NA,NA,141.28298571428573,27.247978241061656
