feature,importance.05,importance,importance.95,permutation.error,.interaction
bulk_density,1.235613102441865,1.2746700213280944,1.2989715112471454,0.12571275731844883,0.5590504053165561
horiz_orient,1.0447050740885384,1.0604039910670269,1.0723731800089502,0.10458103458778314,0.264939705560593
pred_vp,1.3057957898047792,1.3433784286271608,1.3749418183129296,0.13248903917022184,0.550834387780408
shale_group,1.016183906119676,1.0260938367069392,1.0367833314588015,0.10119723796869093,0.013490031015116788
