feature,importance.05,importance,importance.95,permutation.error,.interaction
bulk_density,0.9364002468706434,1.0028392901098893,1.0860471232392648,4.057254478821584,0
horiz_orient,0.936754979615817,0.9886983130302345,1.0741829887652443,4.000043375151068,0
pred_vp,1.4650399071774434,1.6472979124586569,1.955466345381312,6.664584145425699,3.8096310925145744e-16
pred_vs,2.274276469728229,2.588197642386933,3.205745237568979,10.471245572657182,4.535018475003289e-16
shale_group,0.9180849587674089,1.009576046743684,1.0734345380623658,4.084509829000574,0
